File Name,Elec Jan (GJ),Elec Feb (GJ),Elec Mar (GJ),Elec Apr (GJ),Elec May (GJ),Elec Jun (GJ),Elec Jul (GJ),Elec Aug (GJ),Elec Sep (GJ),Elec Oct (GJ),Elec Nov (GJ),Elec Dec (GJ),Gas Jan (GJ),Gas Feb (GJ),Gas Mar (GJ),Gas Apr (GJ),Gas May (GJ),Gas Jun (GJ),Gas Jul (GJ),Gas Aug (GJ),Gas Sep (GJ),Gas Oct (GJ),Gas Nov (GJ),Gas Dec (GJ)
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-new/HZ2_CZ2/instance-out.sql,307.20,247.07,60.13
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-new/HZ3_CZ1/instance-out.sql,332.47,247.87,84.60
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-szdx/HZ1_CZ1/instance-out.sql,357.79,224.78,133.00
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-szdx/HZ1_CZ2/instance-out.sql,351.31,231.63,119.68
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-szdx/HZ1_CZ3/instance-out.sql,420.61,256.66,163.94
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-szdx/HZ2_CZ1/instance-out.sql,433.62,242.87,190.75
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-szdx/HZ2_CZ2/instance-out.sql,462.85,259.89,202.96
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-szdx/HZ3_CZ1/instance-out.sql,523.14,258.92,264.22
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-szhp/HZ1_CZ1/instance-out.sql,259.38,247.77,11.61
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-szhp/HZ1_CZ2/instance-out.sql,260.46,248.95,11.51
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-szhp/HZ1_CZ3/instance-out.sql,296.61,285.00,11.62
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-szhp/HZ2_CZ1/instance-out.sql,295.17,283.33,11.84
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-szhp/HZ2_CZ2/instance-out.sql,317.01,305.13,11.88
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-szhp/HZ3_CZ1/instance-out.sql,343.20,331.11,12.08

File Name,Net Site EUI (MJ/m2),Net Source EUI (MJ/m2),Total Energy/Net Site Energy (GJ),Total Energy/Net Source Energy (GJ)
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-new/HZ1_CZ1/instance-out.sql,532.53,1614.09,272.21,825.05
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-new/HZ1_CZ2/instance-out.sql,529.82,1624.45,270.82,830.35
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-new/HZ1_CZ3/instance-out.sql,591.79,1749.87,302.50,894.46
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-new/HZ2_CZ1/instance-out.sql,578.47,1683.40,295.69,860.48
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-new/HZ2_CZ2/instance-out.sql,600.99,1737.56,307.20,888.17
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-new/HZ3_CZ1/instance-out.sql,650.43,1792.93,332.47,916.47
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-szdx/HZ1_CZ1/instance-out.sql,699.95,1741.20,357.79,890.03
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-szdx/HZ1_CZ2/instance-out.sql,687.28,1758.67,351.31,898.95
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-szdx/HZ1_CZ3/instance-out.sql,822.85,2012.90,420.61,1028.91
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-szdx/HZ2_CZ1/instance-out.sql,848.31,1977.68,433.62,1010.91
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-szdx/HZ2_CZ2/instance-out.sql,905.50,2113.90,462.85,1080.53
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-szdx/HZ3_CZ1/instance-out.sql,1023.45,2233.04,523.14,1141.44
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-szhp/HZ1_CZ1/instance-out.sql,507.43,1642.74,259.38,839.70
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-szhp/HZ1_CZ2/instance-out.sql,509.56,1650.29,260.46,843.56
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-szhp/HZ1_CZ3/instance-out.sql,580.27,1886.00,296.61,964.04
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-szhp/HZ2_CZ1/instance-out.sql,577.46,1875.60,295.17,958.72
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-szhp/HZ2_CZ2/instance-out.sql,620.18,2018.12,317.01,1031.58
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-szhp/HZ3_CZ1/instance-out.sql,671.41,2188.31,343.20,1118.57

File Name,Total (GJ),Heating (GJ),Cooling (GJ),Lights (GJ),Equipment (GJ),Fans (GJ),Pumps (GJ),Heat Recovery (GJ),DHW (GJ),CHP (GJ),Generated (GJ)
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-new/HZ1_CZ1/instance-out.sql,272.2,25.07,12.72,56.71,87.76,42.2,0.0,0.0,11.61,0.0,0.000
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-new/HZ1_CZ2/instance-out.sql,270.82,20.85,17.48,56.71,87.76,40.22,0.0,0.0,11.51,0.0,0.000
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-new/HZ1_CZ3/instance-out.sql,302.5,38.92,23.32,56.71,87.76,48.03,0.0,0.0,11.61,0.0,0.000
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-new/HZ2_CZ1/instance-out.sql,295.69,43.6,15.73,56.71,87.76,43.86,0.0,0.0,11.84,0.0,0.000
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-new/HZ2_CZ2/instance-out.sql,307.2,48.25,19.91,56.71,87.76,46.51,0.0,0.0,11.88,0.0,0.000
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-new/HZ3_CZ1/instance-out.sql,332.47,72.51,15.44,56.71,87.76,51.85,0.0,0.0,12.08,0.0,0.000
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-szdx/HZ1_CZ1/instance-out.sql,357.78,121.39,6.88,74.63,87.76,45.16,0.0,0.0,11.61,0.0,0.000
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/office-small/calibration/runs/calib-szdx/HZ1_CZ2/instance-out.sql,351.31,108.17,14.15,74.63,87.76,44.69,0.0,0.0,11.51,0.0,0.000
