File Name,Total Annual (GJ),Elec Annual (GJ),Gas Annual (GJ),Elec Jan (GJ),Elec Feb (GJ),Elec Mar (GJ),Elec Apr (GJ),Elec May (GJ),Elec Jun (GJ),Elec Jul (GJ),Elec Aug (GJ),Elec Sep (GJ),Elec Oct (GJ),Elec Nov (GJ),Elec Dec (GJ),Gas Jan (GJ),Gas Feb (GJ),Gas Mar (GJ),Gas Apr (GJ),Gas May (GJ),Gas Jun (GJ),Gas Jul (GJ),Gas Aug (GJ),Gas Sep (GJ),Gas Oct (GJ),Gas Nov (GJ),Gas Dec (GJ)
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/sensitivity/runs/economizer_high_limit=65/instance-out.sql,1281.09,921.21,359.87,78.97,70.86,80.29,73.90,77.39,75.58,75.42,80.97,74.79,77.97,76.94,78.15,60.96,57.58,40.61,25.43,15.25,8.77,4.88,3.43,10.32,22.32,43.04,67.28
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/sensitivity/runs/economizer_max_oa_frac=0.1/instance-out.sql,1137.46,925.50,211.96,78.96,70.86,80.28,73.96,77.62,76.27,76.65,82.39,75.38,78.04,76.94,78.14,42.49,41.90,24.38,12.73,4.64,0.79,0.03,0.00,0.83,8.80,26.20,49.18
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/sensitivity/runs/economizer_max_oa_frac=1.9/instance-out.sql,1276.95,922.07,354.88,78.97,70.86,80.29,73.90,77.42,75.65,75.69,81.34,74.89,77.97,76.94,78.15,60.96,57.57,40.49,25.16,14.74,8.13,3.91,2.67,9.40,21.86,42.83,67.16
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/sensitivity/runs/economizer_type_finestorage=DifferentialDryBulb/instance-out.sql,1276.95,922.07,354.88,78.97,70.86,80.29,73.90,77.42,75.65,75.69,81.34,74.89,77.97,76.94,78.15,60.96,57.57,40.49,25.16,14.74,8.13,3.91,2.67,9.40,21.86,42.83,67.16
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/sensitivity/runs/economizer_type_finestorage=NoEconomizer/instance-out.sql,1214.81,923.90,290.91,78.96,70.86,80.28,73.93,77.52,75.96,76.22,81.94,75.13,78.00,76.94,78.14,56.91,53.73,34.23,18.89,8.16,2.04,0.23,0.06,2.44,14.29,36.68,63.26
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/sensitivity/runs/economizer_type_office=DifferentialDryBulb/instance-out.sql,1277.60,921.90,355.69,78.97,70.86,80.29,73.90,77.41,75.63,75.65,81.29,74.86,77.97,76.94,78.15,61.01,57.52,40.63,25.29,14.89,8.19,3.93,2.69,9.48,22.03,42.93,67.11
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/sensitivity/runs/economizer_type_office=NoEconomizer/instance-out.sql,1276.95,922.07,354.88,78.97,70.86,80.29,73.90,77.42,75.65,75.69,81.34,74.89,77.97,76.94,78.15,60.96,57.57,40.49,25.16,14.74,8.13,3.91,2.67,9.40,21.86,42.83,67.16
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/sensitivity/runs/equipment_density_bulkstorage=0.1/instance-out.sql,1228.81,872.94,355.87,74.85,67.13,75.91,69.94,73.17,71.45,71.69,76.97,70.93,73.86,72.88,74.15,61.06,57.94,40.48,25.16,14.73,8.13,3.91,2.67,9.40,21.86,42.83,67.69
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/sensitivity/runs/equipment_density_bulkstorage=1/instance-out.sql,1545.06,1193.40,351.66,101.68,91.43,104.46,95.76,100.87,98.88,97.78,105.52,96.75,100.69,99.34,100.23,60.85,55.88,40.49,25.16,14.73,8.13,3.91,2.67,9.41,21.86,42.83,65.75
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/sensitivity/runs/equipment_density_office=0.1/instance-out.sql,1265.80,900.36,365.43,77.21,69.27,78.42,72.19,75.56,73.75,73.81,79.25,73.09,76.19,75.20,76.44,62.48,58.76,41.91,26.18,15.41,8.43,4.01,2.72,9.69,22.78,44.25,68.81
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/sensitivity/runs/equipment_density_office=1/instance-out.sql,1281.53,930.49,351.04,79.64,71.47,81.01,74.56,78.14,76.40,76.43,82.16,75.59,78.67,77.61,78.81,60.41,56.96,39.99,24.82,14.54,8.05,3.88,2.65,9.32,21.58,42.32,66.52
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/sensitivity/runs/ext_light_w=0/instance-out.sql,1207.06,852.18,354.88,71.38,64.61,74.11,68.88,72.88,71.80,71.41,76.47,69.26,71.37,69.82,70.19,60.96,57.57,40.49,25.16,14.74,8.13,3.91,2.67,9.40,21.86,42.83,67.16
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/sensitivity/runs/ext_light_w=100000/instance-out.sql,2775.94,2421.06,354.88,241.66,205.01,212.71,181.56,174.76,158.20,167.53,185.91,195.62,219.69,229.66,248.75,60.96,57.57,40.49,25.16,14.74,8.13,3.91,2.67,9.40,21.86,42.83,67.16
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/sensitivity/runs/fan_eff_bulkstorage=0.4/instance-out.sql,1276.88,922.08,354.79,78.97,70.87,80.29,73.90,77.42,75.65,75.69,81.34,74.89,77.97,76.94,78.15,60.96,57.55,40.49,25.16,14.74,8.13,3.91,2.67,9.40,21.86,42.83,67.09
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/sensitivity/runs/fan_eff_bulkstorage=0.9/instance-out.sql,1276.86,922.06,354.80,78.96,70.85,80.29,73.90,77.42,75.65,75.69,81.34,74.89,77.97,76.94,78.14,60.96,57.57,40.49,25.16,14.74,8.13,3.91,2.67,9.40,21.86,42.83,67.07
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/sensitivity/runs/fan_eff_finestorage=0.4/instance-out.sql,1338.61,1057.08,281.53,90.25,81.05,91.57,84.86,88.80,86.86,87.59,93.48,86.06,89.27,87.86,89.43,50.05,47.87,31.76,19.44,11.35,5.72,2.28,1.47,6.64,16.59,33.45,54.92
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/sensitivity/runs/fan_eff_finestorage=0.9/instance-out.sql,1240.21,825.80,414.41,70.89,63.56,72.21,66.06,69.28,67.71,67.28,72.78,66.95,69.89,69.12,70.07,69.33,64.79,47.54,30.30,18.29,10.18,5.41,3.78,11.72,26.71,50.00,76.36
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/sensitivity/runs/fan_eff_intakevent_bulkstorage=0.5/instance-out.sql,1276.80,922.24,354.56,78.98,70.87,80.30,73.92,77.43,75.67,75.71,81.36,74.90,77.99,76.95,78.16,60.96,57.33,40.49,25.16,14.74,8.13,3.91,2.67,9.40,21.86,42.83,67.08
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/sensitivity/runs/fan_eff_intakevent_bulkstorage=0.95/instance-out.sql,1275.87,921.03,354.84,78.88,70.78,80.20,73.82,77.33,75.57,75.61,81.26,74.81,77.88,76.85,78.06,60.97,57.51,40.49,25.16,14.74,8.13,3.91,2.67,9.40,21.86,42.83,67.17
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/sensitivity/runs/fan_eff_office=0.4/instance-out.sql,1279.34,928.96,350.38,79.52,71.36,80.87,74.43,78.00,76.27,76.31,82.04,75.47,78.53,77.48,78.68,60.32,56.88,39.91,24.75,14.48,8.03,3.88,2.66,9.30,21.51,42.25,66.41
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/sensitivity/runs/fan_eff_office=0.9/instance-out.sql,1274.51,914.69,359.82,78.37,70.32,79.66,73.33,76.79,75.00,75.04,80.61,74.28,77.38,76.36,77.57,61.67,58.11,41.16,25.65,15.07,8.28,3.95,2.69,9.55,22.30,43.49,67.88
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/sensitivity/runs/fan_motor_eff_bulkstorage=0.5/instance-out.sql,1276.95,922.07,354.88,78.97,70.86,80.29,73.90,77.42,75.65,75.69,81.34,74.89,77.97,76.94,78.15,60.96,57.57,40.49,25.16,14.74,8.13,3.91,2.67,9.40,21.86,42.83,67.16
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/warehouse/sensitivity/runs/fan_motor_eff_bulkstorage=0.95/instance-out.sql,1276.95,922.07,354.88,78.97,70.86,80.29,73.90,77.42,75.65,75.69,81.34,74.89,77.97,76.94,78.15,60.96,57.57,40.49,25.16,14.74,8.13,3.91,2.67,9.40,21.86,42.83,67.16
