Parameter,Total Annual,Elec Annual,Gas Annual,Elec Jan,Elec Feb,Elec Mar,Elec Apr,Elec May,Elec Jun,Elec Jul,Elec Aug,Elec Sep,Elec Oct,Elec Nov,Elec Dec,,Gas Jan,Gas Feb,Gas Mar,Gas Apr,Gas May,Gas Jun,Gas Jul,Gas Aug,Gas Sep,Gas Oct,Gas Nov,Gas Dec
oa_area_lobby,0.003960,0.001590,0.006880,0.005710,0.005380,0.001080,0.000420,0.000130,0.000130,0.000240,0.000270,0.000130,0.000020,0.002010,0.004240,0.009440,0.021450,0.019300,0.007140,0.002970,0.000070,0.000550,0.001210,0.002190,0.000210,0.000000,0.007840,0.016790
equipment_density_dining,0.007460,0.032980,0.006270,0.033840,0.033870,0.033460,0.033360,0.033100,0.032650,0.031910,0.031440,0.032450,0.033090,0.033330,0.033630,0.004110,0.007480,0.007500,0.006030,0.005530,0.005200,0.005340,0.006000,0.006510,0.005750,0.005420,0.006310,0.007500
equipment_density_banquet,0.007510,0.033030,0.006220,0.033790,0.033800,0.033410,0.033380,0.033120,0.032780,0.032200,0.031760,0.032570,0.033030,0.033260,0.033540,0.003370,0.007760,0.007720,0.005810,0.005360,0.005090,0.005220,0.005870,0.006080,0.005600,0.005110,0.006300,0.007760
oa_person_banquet,0.003390,0.001660,0.006060,0.005760,0.005300,0.001320,0.000570,0.000130,0.000150,0.000220,0.000270,0.000130,0.000020,0.002190,0.004510,0.009780,0.019110,0.018000,0.005980,0.002190,0.000070,0.000550,0.001190,0.002180,0.000210,0.000010,0.006530,0.015300
oa_person_dining,0.002140,0.001160,0.003880,0.003990,0.003550,0.000990,0.000490,0.000110,0.000110,0.000160,0.000190,0.000080,0.000020,0.001520,0.003160,0.006800,0.012310,0.012050,0.003690,0.001210,0.000090,0.000370,0.000860,0.001500,0.000130,0.000010,0.004070,0.010000
oa_person_cafeteria,0.001850,0.000910,0.003320,0.003250,0.002840,0.000760,0.000380,0.000080,0.000060,0.000140,0.000160,0.000080,0.000020,0.001150,0.002420,0.005370,0.010330,0.009920,0.003330,0.001230,0.000050,0.000300,0.000650,0.001260,0.000100,0.000010,0.003600,0.008480
fan_eff_supply,0.015990,0.050050,0.002540,0.049350,0.049940,0.049170,0.050140,0.050380,0.050800,0.050770,0.049910,0.051930,0.049720,0.049420,0.048910,-0.002430,0.006220,0.006370,0.002660,0.001050,0.000160,0.000730,0.000900,0.001160,0.000480,0.000010,0.002950,0.006290
equipment_density_corridor,0.041690,0.108010,0.002370,0.109650,0.109950,0.111760,0.107860,0.108720,0.108700,0.103710,0.106690,0.105190,0.107130,0.109400,0.108030,0.007280,0.006960,0.005990,0.002650,0.005390,0.007110,0.007490,0.007750,0.006890,0.007630,0.007010,0.002030,0.005820
equipment_density_kitchen,0.026980,0.072550,0.002130,0.074120,0.074190,0.073680,0.073390,0.072770,0.071700,0.070590,0.069790,0.071240,0.072790,0.073280,0.073760,0.007500,0.000850,0.000770,0.001960,0.002870,0.003740,0.004050,0.004050,0.003970,0.004050,0.003720,0.001710,0.000470
oa_area_dining,0.001020,0.000480,0.001820,0.001710,0.001540,0.000350,0.000200,0.000060,0.000040,0.000060,0.000080,0.000040,0.000020,0.000620,0.001280,0.002860,0.005610,0.005470,0.001850,0.000710,0.000020,0.000150,0.000400,0.000750,0.000050,0.000010,0.002010,0.004680
oa_area_banquet,0.000860,0.000400,0.001520,0.001480,0.001260,0.000280,0.000130,0.000060,0.000040,0.000060,0.000080,0.000020,0.000020,0.000460,0.001090,0.002430,0.004650,0.004490,0.001560,0.000640,0.000010,0.000140,0.000330,0.000600,0.000050,0.000010,0.001700,0.003900
equipment_density_retail,0.005600,0.013410,0.001430,0.013780,0.013760,0.013450,0.013420,0.013400,0.013380,0.013140,0.013030,0.013270,0.013280,0.013430,0.013580,0.001180,0.000350,0.000300,0.001500,0.001850,0.002080,0.002010,0.001680,0.001310,0.002230,0.002480,0.001510,0.000510
equipment_density_laundry,0.001810,0.003120,0.001120,0.003210,0.003200,0.003070,0.003100,0.003120,0.003130,0.003110,0.003050,0.003110,0.003070,0.003100,0.003170,0.000230,0.000750,0.000730,0.001050,0.001220,0.001340,0.001380,0.001370,0.001290,0.001430,0.001350,0.001070,0.000810
oa_area_cafeteria,0.000580,0.000270,0.001040,0.000980,0.000850,0.000190,0.000110,0.000040,0.000020,0.000040,0.000040,0.000020,0.000020,0.000310,0.000730,0.001630,0.003200,0.003120,0.001040,0.000400,0.000010,0.000100,0.000230,0.000380,0.000030,0.000000,0.001130,0.002660
oa_area_storage,0.000600,0.000090,0.000860,0.000240,0.000170,0.000060,0.000130,0.000190,0.000210,0.000240,0.000270,0.000210,0.000150,0.000020,0.000130,-0.000150,0.001570,0.001560,0.000840,0.000620,0.000500,0.000540,0.000500,0.000430,0.000550,0.000490,0.000890,0.001360
oa_area_mechanical,0.000490,0.000150,0.000830,0.000660,0.000570,0.000130,0.000040,0.000020,0.000020,0.000020,0.000020,0.000040,0.000020,0.000200,0.000470,0.001100,0.002350,0.002290,0.000820,0.000380,0.000090,0.000040,0.000050,0.000120,0.000080,0.000080,0.000890,0.001940
oa_person_basement,0.000420,0.000190,0.000740,0.000680,0.000620,0.000130,0.000090,0.000040,0.000020,0.000020,0.000040,0.000020,0.000020,0.000240,0.000510,0.001140,0.002280,0.002230,0.000740,0.000290,0.000010,0.000060,0.000170,0.000260,0.000030,0.000000,0.000800,0.001900
oa_area_retail,0.000370,0.000170,0.000650,0.000600,0.000550,0.000110,0.000090,0.000020,0.000020,0.000020,0.000020,0.000020,0.000000,0.000200,0.000450,0.001010,0.002030,0.001970,0.000650,0.000250,0.000010,0.000060,0.000150,0.000230,0.000010,0.000000,0.000690,0.001660
equipment_density_mechanical,0.002760,0.008970,0.000560,0.009090,0.009100,0.009060,0.009020,0.009000,0.008950,0.008830,0.008820,0.008860,0.008940,0.009000,0.009010,0.000460,0.001200,0.001090,0.000670,0.000380,0.000150,0.000190,0.000150,0.000120,0.000090,0.000160,0.000760,0.001150
oa_person_retail,0.000310,0.000140,0.000540,0.000490,0.000450,0.000090,0.000070,0.000020,0.000000,0.000020,0.000020,0.000020,0.000000,0.000150,0.000360,0.000820,0.001690,0.001640,0.000550,0.000200,0.000010,0.000050,0.000120,0.000190,0.000010,0.000000,0.000570,0.001380
oa_person_mechanical,0.000280,0.000130,0.000500,0.000470,0.000430,0.000090,0.000040,0.000020,0.000020,0.000020,0.000020,0.000000,0.000020,0.000150,0.000340,0.000770,0.001540,0.001480,0.000490,0.000190,0.000010,0.000050,0.000110,0.000180,0.000010,0.000000,0.000540,0.001280
equipment_density_storage,0.001470,0.005170,0.000490,0.005200,0.005240,0.005230,0.005190,0.005190,0.005150,0.005100,0.005080,0.005120,0.005150,0.005190,0.005200,0.000220,0.000850,0.000740,0.000580,0.000410,0.000270,0.000350,0.000290,0.000260,0.000230,0.000210,0.000590,0.000820
equipment_density_residence,0.008840,0.024610,0.000390,0.025080,0.025150,0.025140,0.025030,0.024740,0.024280,0.023810,0.023440,0.024120,0.024860,0.024950,0.025040,0.002870,0.001280,0.000490,0.000560,0.000860,0.001040,0.001120,0.001030,0.001040,0.001110,0.001100,0.000620,0.001000
oa_area_laundry,0.000200,0.000090,0.000350,0.000320,0.000280,0.000060,0.000040,0.000000,0.000000,0.000020,0.000020,0.000000,0.000000,0.000110,0.000240,0.000520,0.001100,0.001070,0.000350,0.000130,0.000010,0.000030,0.000070,0.000090,0.000010,0.000000,0.000370,0.000890
