key,dependencies,units,values,,,,,,,,,,
foundation_type,,,None,Full Slab,Interior Horizontal,Interior Vertical,Exterior Horizontal,Exterior Vertical,,,,,
equipment_density_elevator,,W/ft2,0,10,,,,,,,,,
equipment_density_office,,W/ft2,0,10,,,,,,,,,
gas_max_kitchen,,W,100000,1000000,,,,,,,,,
gas_fraction_latent_kitchen,,,0,1,,,,,,,,,
gas_fraction_radiant_kitchen,,,0,1,,,,,,,,,
gas_fraction_lost_kitchen,,,0,1,,,,,,,,,
occupant_density_auditorium,,1/ft2,0,4,,,,,,,,,
occupant_density_auxgym,,1/ft2,0,4,,,,,,,,,
occupant_density_bath,,1/ft2,0,4,,,,,,,,,
occupant_density_cafeteria,,1/ft2,0,4,,,,,,,,,
occupant_density_classroom,,1/ft2,0,4,,,,,,,,,
occupant_density_computer,,1/ft2,0,4,,,,,,,,,
occupant_density_corridor,,1/ft2,0,4,,,,,,,,,
occupant_density_gym,,1/ft2,0,4,,,,,,,,,
occupant_density_kitchen,,1/ft2,0,4,,,,,,,,,
occupant_density_library,,1/ft2,0,4,,,,,,,,,
occupant_density_lobby,,1/ft2,0,4,,,,,,,,,
occupant_density_mechanical,,1/ft2,0,4,,,,,,,,,
occupant_density_office,,1/ft2,0,4,,,,,,,,,
dhw_bath,,GPM,0,10,,,,,,,,,
dhw_gym,,GPM,0,10,,,,,,,,,
dhw_kitchen,,GPM,0,10,,,,,,,,,
dhw_temp_bath,,F,0,200,,,,,,,,,
dhw_temp_gym,,F,0,200,,,,,,,,,
dhw_temp_kitchen,,F,0,200,,,,,,,,,
peak_draw_time,,,0,20,,,,,,,,,
storage_recovery_time,,,0,10,,,,,,,,,
internal_mass_area_ratio,,,0,5,,,,,,,,,
oa_person_auditorium,,CFM,0,50,,,,,,,,,
oa_person_auxgym,,CFM,0,50,,,,,,,,,
oa_person_bath,,CFM,0,50,,,,,,,,,
oa_person_cafeteria,,CFM,0,50,,,,,,,,,
oa_person_classroom,,CFM,0,50,,,,,,,,,
oa_person_computer,,CFM,0,50,,,,,,,,,
oa_person_corridor,,CFM,0,50,,,,,,,,,
oa_person_gym,,CFM,0,50,,,,,,,,,
oa_person_kitchen,,CFM,0,50,,,,,,,,,
oa_person_library,,CFM,0,50,,,,,,,,,
oa_person_lobby,,CFM,0,50,,,,,,,,,
oa_person_mechanical,,CFM,0,50,,,,,,,,,
oa_person_office,,CFM,0,50,,,,,,,,,
oa_area_auditorium,,CFM/ft2,0,1,,,,,,,,,
oa_area_auxgym,,CFM/ft2,0,1,,,,,,,,,
oa_area_bath,,CFM/ft2,0,1,,,,,,,,,
oa_area_cafeteria,,CFM/ft2,0,1,,,,,,,,,
oa_area_classroom,,CFM/ft2,0,1,,,,,,,,,
oa_area_computer,,CFM/ft2,0,1,,,,,,,,,
oa_area_corridor,,CFM/ft2,0,1,,,,,,,,,
oa_area_gym,,CFM/ft2,0,1,,,,,,,,,
oa_area_kitchen,,CFM/ft2,0,1,,,,,,,,,
oa_area_library,,CFM/ft2,0,1,,,,,,,,,
oa_area_lobby,,CFM/ft2,0,1,,,,,,,,,
oa_area_mechanical,,CFM/ft2,0,1,,,,,,,,,
oa_area_office,,CFM/ft2,0,1,,,,,,,,,
zone_hvac,,,SZDX,CAVMULTIZONE,VAVMULTIZONE,VAVREHEAT,VRF,ASHP,,,,,
zone_hvac_cafe_gym,,,SZDX,RTU,VRF,ASHP,,,,,,,
zone_hvac_kitchen,,,MAHU,VRF,ASHP,,,,,,,,
