File Name,Elec Jan (GJ),Elec Feb (GJ),Elec Mar (GJ),Elec Apr (GJ),Elec May (GJ),Elec Jun (GJ),Elec Jul (GJ),Elec Aug (GJ),Elec Sep (GJ),Elec Oct (GJ),Elec Nov (GJ),Elec Dec (GJ),Gas Jan (GJ),Gas Feb (GJ),Gas Mar (GJ),Gas Apr (GJ),Gas May (GJ),Gas Jun (GJ),Gas Jul (GJ),Gas Aug (GJ),Gas Sep (GJ),Gas Oct (GJ),Gas Nov (GJ),Gas Dec (GJ)
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/default/HZ2_CZ1/instance-out.sql,1868.74,4916.16,7812.84,20553.43
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/default/HZ2_CZ2/instance-out.sql,1869.12,4914.68,7814.40,20547.28
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/default/HZ3_CZ1/instance-out.sql,1946.45,4993.24,8137.70,20875.73
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/existing-cbsa-2014/HZ1_CZ1/instance-out.sql,1911.83,5447.67,7992.95,22775.60
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/existing-cbsa-2014/HZ1_CZ2/instance-out.sql,1900.21,5477.68,7944.39,22901.06
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/existing-cbsa-2014/HZ1_CZ3/instance-out.sql,1929.37,5488.63,8066.29,22946.84
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/existing-cbsa-2014/HZ2_CZ1/instance-out.sql,1944.74,5407.26,8130.58,22606.63
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/existing-cbsa-2014/HZ2_CZ2/instance-out.sql,1952.24,5449.98,8161.90,22785.26
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/existing-cbsa-2014/HZ3_CZ1/instance-out.sql,2028.68,5539.39,8481.51,23159.05

File Name,Total (GJ),Heating (GJ),Cooling (GJ),Lights (GJ),Equipment (GJ),Fans (GJ),Pumps (GJ),Heat Recovery (GJ),DHW (GJ),CHP (GJ),Generated (GJ)
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/Calib/HZ1_CZ1/instance-out.sql,11030.529999999999,1926.52,252.56,1315.34,2507.71,1004.56,0.0,0.0,271.93,0.0,0.000
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/Calib/HZ1_CZ2/instance-out.sql,11078.95,1818.98,328.58,1315.34,2507.71,1061.38,0.0,0.0,263.53,0.0,0.000
/Users/amine-lazrak/Documents/Big Ladder/RTF/modelkit-flannel~/models/pnw/retail-supermarket/calibration/runs/Calib/HZ1_CZ3/instance-out.sql,11480.42,2222.88,380.96,1315.34,2507.71,1228.83,0.0,0.0,272.25,0.0,0.000
